sym,name,sector,lunes,martes,miercoles,jueves,viernes
HIG,Hartford (The),Financials,39.29681359044996,39.44388748950462,39.44040268456376,39.49594363791631,39.52751718213058
HAS,Hasbro,Consumer Discretionary,39.49779614325069,39.66820319059614,39.52243288590604,39.59230572160546,39.531701030927834
HCA,HCA Healthcare,Health Care,98.08948214285715,98.87458536585366,98.57221859706361,98.57072727272727,98.50728785357737
PEAK,Healthpeak,Real Estate,17.27676767676768,17.320083963056256,17.285687919463086,17.288650725875318,17.291091065292097
HSIC,Henry Schein,Health Care,36.03963269054179,36.242485306465156,36.1264177852349,36.17509820666098,36.13357388316152
HSY,Hershey's,Consumer Staples,67.08905417814508,67.7791435768262,67.42436241610739,67.5369342442357,67.55046391752578
HES,Hess Corporation,Energy,47.94820936639118,48.31256926952141,48.18448825503356,48.21167378309138,48.21431271477663
HPE,Hewlett Packard Enterprise,Information Technology,12.139795321637427,12.177910052910052,12.16002659574468,12.171940700808625,12.204168937329701
HLT,Hilton Worldwide,Consumer Discretionary,80.35076744186047,80.82856540084387,80.78125531914894,80.6658064516129,80.85513043478261
HOLX,Hologic,Health Care,26.95623507805326,27.141528127623847,27.1084144295302,27.16861656703672,27.082646048109968
HD,Home Depot (The),Consumer Discretionary,87.88137741046833,88.76606213266163,88.26787751677853,88.42076857386849,88.28146907216495
HON,Honeywell,Industrials,71.2936914600551,71.91230898404702,71.5489345637584,71.71375747224594,71.64798109965636
HRL,Hormel Foods,Consumer Staples,18.400899908172637,18.5187825356843,18.41470637583893,18.452348420153715,18.40774054982818
HST,Host Hotels & Resorts,Real Estate,11.426730945821854,11.476910159529806,11.461317114093958,11.478505550811272,11.481847079037802
